datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-01-31 00:00:00.000000,127.69,99.09000000000005,152.09999999999997,878.0300000000002,250.3,30.0,112.0,48.2
2014-02-28 00:00:00.000000,133.32,126.0500000000001,176.99999999999997,1001.9,250.3,31.0,122.0,36.2
2014-03-31 00:00:00.000000,137.44000000000003,92.95000000000007,147.655,779.275,232.0,20.0,112.0,85.4
2014-04-30 00:00:00.000000,113.10000000000004,89.47500000000008,130.89999999999998,698.5,209.0,18.0,97.0,73.7
2014-05-31 00:00:00.000000,101.79000000000003,119.93300000000008,132.1,628.7800000000001,270.0,23.0,107.0,123.7
2014-06-30 00:00:00.000000,112.07000000000002,94.71000000000006,122.9,548.225,250.3,23.0,57.0,109.3
2014-07-31 00:00:00.000000,117.06000000000002,95.01000000000012,129.3,491.9,250.3,21.0,61.0,69.1
2014-08-31 00:00:00.000000,124.79,99.7800000000001,123.8,547.35,250.3,29.0,37.0,70.80000000000001
2014-09-30 00:00:00.000000,108.78000000000004,109.0940000000001,112.1,887.8199999999999,250.3,14.0,115.0,58.8
2014-10-31 00:00:00.000000,101.195,108.7513125,140.5375,1073.136875,250.3,19.625,160.0,46.6875
2014-11-30 00:00:00.000000,138.08000000000004,100.86000000000004,142.7,723.8,250.3,19.0,112.0,45.2
2014-12-31 00:00:00.000000,131.90000000000003,121.40100000000004,111.124,1015.66,250.3,25.0,163.0,33.4
2015-01-31 00:00:00.000000,135.91000000000005,130.34900000000005,141.0,1044.2400000000002,250.3,24.0,177.25,42.0
2015-02-28 00:00:00.000000,115.71,123.73999999999997,131.83,953.252,243.0,9.0,208.0,47.0
2015-03-31 00:00:00.000000,156.04000000000005,129.38599999999997,133.8,1084.85,208.0,13.0,170.0,54.0
2015-04-30 00:00:00.000000,154.5,101.115,122.1,940.17,192.0,5.0,97.0,112.0
2015-05-31 00:00:00.000000,160.02,119.11700000000006,136.04,765.9000000000001,194.0,10.0,100.0,159.5
2015-06-30 00:00:00.000000,151.87000000000003,113.69,145.46,746.788,217.0,12.0,193.0,125.79999999999998
2015-07-31 00:00:00.000000,175.61000000000004,113.81000000000002,125.5,708.8280000000001,203.0,6.0,60.0,130.3
2015-08-31 00:00:00.000000,181.69000000000003,144.51900000000003,133.4,790.788,265.5,15.0,45.0,83.7
2015-09-30 00:00:00.000000,166.22000000000008,134.12200000000004,110.4,852.125,243.5,11.0,91.0,71.0
2015-10-31 00:00:00.000000,195.81000000000017,127.23099999999998,146.20000000000002,1574.3350000000007,222.0,8.0,184.0,72.0
2015-11-30 00:00:00.000000,142.78,128.233,145.90000000000003,1277.725,228.0,18.0,165.0,44.0
2015-12-31 00:00:00.000000,159.46000000000004,131.29100000000005,136.99999999999997,1258.3490000000002,286.0,28.0,231.0,41.73
2016-01-31 00:00:00.000000,171.65000000000006,128.402,172.49999999999997,1476.3240000000003,248.0,24.0,174.0,56.5
2016-02-29 00:00:00.000000,173.81000000000003,137.528,134.20000000000002,1224.8620000000003,239.0,20.0,245.0,58.0
2016-03-31 00:00:00.000000,156.64000000000004,114.97650000000004,148.4,1150.7000000000005,250.0,13.0,253.0,97.84
2016-04-30 00:00:00.000000,166.6100000000001,146.52600000000007,147.7,998.3370000000004,292.0,18.0,216.0,162.39999999999998
2016-05-31 00:00:00.000000,167.36000000000007,120.86099999999996,130.54999999999995,997.1500000000004,255.0,18.0,131.0,137.10000000000002
2016-06-30 00:00:00.000000,169.67000000000002,114.961,117.75,760.05,280.5,20.0,127.0,134.8
2016-07-31 00:00:00.000000,203.97000000000017,141.01900000000003,137.89999999999998,652.3619999999999,240.0,8.0,109.0,116.83
2016-08-31 00:00:00.000000,211.13000000000017,114.37499999999996,132.7,686.38333334,275.5,12.0,116.0,85.3
2016-09-30 00:00:00.000000,172.96000000000004,126.21799999999996,116.7,1118.699,307.0,18.0,121.0,69.3
2016-10-31 00:00:00.000000,186.7600000000001,142.0560000000001,160.15,1617.275000000001,290.83333333,11.0,220.0,60.9
2016-11-30 00:00:00.000000,175.18000000000012,116.84999999999997,133.85000000000002,1062.6860000000004,234.16666667,27.0,150.0,51.2
2016-12-31 00:00:00.000000,169.32000000000002,135.05600000000004,122.816666667,1624.3350000000005,226.33333333,18.0,275.0,34.9
2017-01-31 00:00:00.000000,181.902083334,150.991249999,117.225,1439.36,250.3,34.166666666,196.406250002,61.750000001
2017-02-28 00:00:00.000000,159.99,125.339083334,122.875000001,670.87583333,178.791666657,11.166666667,140.33333333299998,38.099999999
2017-03-31 00:00:00.000000,162.85000000000002,111.055,107.35,612.5000000000002,250.3,9.0,109.0,100.1
2017-04-30 00:00:00.000000,155.61000000000004,101.21500000000002,100.5,540.1999999999998,250.3,9.0,180.875,122.4
2017-05-31 00:00:00.000000,143.66,118.12500000000006,98.95,547.9399999999998,250.3,23.0,128.0,161.81
2017-06-30 00:00:00.000000,122.33,103.006,99.6,496.1,250.3,8.0,163.0,151.89999999999998
2017-07-31 00:00:00.000000,150.295,116.20600000000005,75.19999999999999,479.35,219.0,15.0,115.0,81.1
2017-08-31 00:00:00.000000,170.14999999999998,112.47,84.4,549.3,239.0,12.0,75.0,60.1
2017-09-30 00:00:00.000000,138.33,118.71100000000004,88.14999999999998,863.7500000000002,223.0,23.0,139.0,66.9
2017-10-31 00:00:00.000000,137.64,88.737,100.4,1184.3500000000004,226.0,15.0,247.0,51.0
2017-11-30 00:00:00.000000,163.85000000000005,119.78000000000004,104.45,867.8990000000001,192.0,15.0,196.0,46.6
2017-12-31 00:00:00.000000,160.01000000000002,121.66300000000004,115.15,1007.18,226.0,6.0,204.0,47.1
2018-01-31 00:00:00.000000,132.28,109.44599999999998,101.15,1134.325,229.0,11.0,219.0,49.5
2018-02-28 00:00:00.000000,128.36,132.80400000000014,114.65000000000002,1255.3740000000007,268.0,12.0,224.25,39.06
2018-03-31 00:00:00.000000,146.16,111.764,122.3,999.1230000000004,250.3,18.0,269.0,85.5
2018-04-30 00:00:00.000000,170.02000000000007,107.723,84.60000000000001,836.0369999999999,289.0,14.0,229.0,197.1
2018-05-31 00:00:00.000000,160.52000000000004,103.522,89.39999999999999,644.6480000000004,259.0,13.0,167.0,213.04
2018-06-30 00:00:00.000000,141.18,114.22600000000004,86.80000000000001,584.343,248.0,18.0,101.0,120.8
2018-07-31 00:00:00.000000,150.18,132.54900000000006,87.2,679.3499999999999,283.0,19.0,90.0,122.2
2018-08-31 00:00:00.000000,140.00000000000003,114.71900000000004,88.25,733.838,253.0,20.0,159.0,103.1
2018-09-30 00:00:00.000000,153.52,114.99200000000008,86.5,1058.2620000000002,263.0,12.0,205.0,88.10000000000001
2018-10-31 00:00:00.000000,144.71000000000004,129.4000000000001,76.05000000000001,1129.275,287.0,25.0,327.0,76.9
2018-11-30 00:00:00.000000,172.29000000000005,105.48700000000004,102.15,995.15,252.2,22.0,311.0,48.400000000000006
2018-12-31 00:00:00.000000,147.71000000000004,113.02400000000011,84.75,1213.95,254.0,27.0,354.0,53.1
2019-01-31 00:00:00.000000,179.70000000000007,114.97650000000004,99.7,1660.6120000000012,295.2,23.0,159.5,41.3
2019-02-28 00:00:00.000000,133.73000000000002,142.15500000000014,110.19999999999996,1001.2120000000004,249.4,12.0,226.0,69.5
2019-03-31 00:00:00.000000,154.52000000000004,113.11800000000004,83.35000000000001,941.05,301.4,19.0,257.0,169.49999999999997
2019-04-30 00:00:00.000000,161.39000000000004,100.16500000000003,88.1,647.6500000000002,299.4,22.0,219.0,179.10000000000002
2019-05-31 00:00:00.000000,168.04000000000005,97.25800000000004,104.1,703.5620000000001,265.79999999999995,26.0,298.29166667,135.4
2019-06-30 00:00:00.000000,151.5400000000001,101.62700000000004,103.2,609.9999999999999,193.0,25.0,142.0,156.04
2019-07-31 00:00:00.000000,181.0,103.54100000000004,92.8,649.8,250.6,20.0,115.0,105.2
2019-08-31 00:00:00.000000,181.91000000000008,88.26900000000003,84.19999999999999,518.0999999999999,237.0,26.0,145.0,97.3
2019-09-30 00:00:00.000000,161.07000000000005,111.43700000000008,93.5,984.48,227.8,16.0,121.416666667,109.1
2019-10-31 00:00:00.000000,155.06500000000003,114.97650000000004,117.225,295.15000000000003,250.3,7.0,37.0,11.13
2025-08-26 01:56:09.001904,577.0,6801.0,4.0,122.0,301.0,1376.0,174.0,0.0
